A | A Db E 
AM7 | A Db (E) Ab 
AM9 | A Db (E) Ab (B) 
AM13 | A Db (E) Ab (B) (D) (Gb) 
A6 | A Db (E) Gb 
A69 | A Db (E) Gb B 
AM#4 | A Db (E) (Ab) (B) Eb (Gb) 
AM7b6 | A Db (E) (Ab) (B) (D) F Gb 
A7 | A Db (E) G 
A9 | A Db (E) G B 
A13 | A Db (E) G (B) Gb 
A7#11 | A Db (E) G (B) Eb (Gb) 
A7b9 | A Db (E) G Bb B 
A7#9 | A Db (E) G C B 
Aalt7 | A Db G (Bb) 
Asus4 | A D (E) D 
Asus2 | A B (E) B 
A7sus4 | A D (E) G D 
A11 | A (E) G (B) D 
Ab9sus | A D (E) Bb D B 
Am | A C E 
Am7 | A C (E) G 
Am/M7 | A C (E) Ab (B) 
Am6 | A C (E) Gb 
Am9 | A C (E) G B 
Am11 | A C (E) G (B) D 
Am13 | A C (E) G (B) D (Gb) 
Ao | A C Eb 
Ao7 | A C Eb Gb 
A0 | A C Eb G 
A5 | A E 
Aaug | A Db F 
Aaug7 | A Db F G 
AaugM7 | A Db F Ab 
Bb | Bb D F 
BbM7 | Bb D (F) A 
BbM9 | Bb D (F) A (C) 
BbM13 | Bb D (F) A (C) (Eb) (G) 
Bb6 | Bb D (F) G 
Bb69 | Bb D (F) G C 
BbM#4 | Bb D (F) (A) (C) E (G) 
BbM7b6 | Bb D (F) (A) (C) (Eb) Gb G 
Bb7 | Bb D (F) Ab 
Bb9 | Bb D (F) Ab C 
Bb13 | Bb D (F) Ab (C) G 
Bb7#11 | Bb D (F) Ab (C) E (G) 
Bb7b9 | Bb D (F) Ab B C 
Bb7#9 | Bb D (F) Ab Db C 
Bbalt7 | Bb D Ab (B) 
Bbsus4 | Bb Eb (F) Eb 
Bbsus2 | Bb C (F) C 
Bb7sus4 | Bb Eb (F) Ab Eb 
Bb11 | Bb (F) Ab (C) Eb 
Bbb9sus | Bb Eb (F) B Eb C 
Bbm | Bb Db F 
Bbm7 | Bb Db (F) Ab 
Bbm/M7 | Bb Db (F) A (C) 
Bbm6 | Bb Db (F) G 
Bbm9 | Bb Db (F) Ab C 
Bbm11 | Bb Db (F) Ab (C) Eb 
Bbm13 | Bb Db (F) Ab (C) Eb (G) 
Bbo | Bb Db E 
Bbo7 | Bb Db E G 
Bb0 | Bb Db E Ab 
Bb5 | Bb F 
Bbaug | Bb D Gb 
Bbaug7 | Bb D Gb Ab 
BbaugM7 | Bb D Gb A 
B | B Eb Gb 
BM7 | B Eb (Gb) Bb 
