Emotion	    Arousal	  Valence	
Affectionate	2.9	2.57	
Aggressive	8.12	7.67	
Aggrieved	5.91	5.65	
Aghast	        7.2	6.47	
Agonized	6.99	7.52	
Amused	      3.45	2.47	
Angry	        8.06	7.5	
Anxious	       7.04	6.59	
Apologetic	4.73	4.84	
Ashamed	     5.88	6.01	
Bored	      4.04	5.83	
Carefree	3.4	2.34	
Caring	      3.65	3.06	
Compassionate	4.95	5.47	
Concerned	6.27	5.6
Confident	2.7	2.61	
Confused	6.29	6.14	
Contemptuous	6.46	7.53	
Content	     2.05	2.28	
Cross	       6.97	6.68	
Curious	     5.01	3.34	
Desperate	7.48	7.53	
Disappointed	5.95	6.73	
Disgusted	6.87	7.42	
Doubtful	6.05	6.25	
Embarrassed	4.96	5.04	
Enthusiastic	5.73	2.66	
Envious	     7.54	6.75	
Expectant	5.37	3.57	
Frantic	    8.41	7.41	
Frustrated	6.9	7.46	
Grateful	3	2.52	
Grievous	6.26	6.82	
Guilty	    6.59	7.03	
Hateful	    8.16	8.27	
Humble	     4.96	5.9	
Hurt	      6.26	6.64	
In love	     6.27	1.72	
Interested	3.96	2.54	
Jaunty	    5.98	3.98	
Jealous	     6.14	6.92	
Joyful	      4.55	2	
Jubilant	  5.08	1.77	
Jumpy	      7.22	6.37	
Lonely	     5.78	7.17	
Lyrical	     5.08	3.18	
Melancholic	 4.42	5.76	
Offended	   6.04	6.49	
Panic	      8.26	7.78	
Pardoning	   3.56	3.36	
Passionate	5.69	2.21	
Proud	      4.12	2.8	
Relaxed	    1.72	2.37	
Relieved	   2.68	2.45	
Remorseful	5.29	5.53	
Sad	         5.91	6.6
Shocked	     7.56	6.86	
Sick	       6.71	7.6	
Surprised   	5.74	4.09	
Triumphant	  5.5	3.48	
Troubled	   6.43	5.77	
Wistful	     5.47	6.03
